rank,title,videoId,views,dailyViews,url
1,Crazy Frog - Axel F (Official Video),k85mRPqvMbE,5007889500,1990476,https://youtube.com/watch?v=k85mRPqvMbE
2,The Gummy Bear Song - Long English Version,astISOttCQ0,3576875302,918685,https://youtube.com/watch?v=astISOttCQ0
3,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,kXYiU_JCYtU,2425181478,1072226,https://youtube.com/watch?v=kXYiU_JCYtU
4,50 Cent - In Da Club (Official Music Video),5qm8PH4xAss,2278445663,935598,https://youtube.com/watch?v=5qm8PH4xAss
5,Guns N' Roses - November Rain,8SbUC-UaAxE,2243544666,313226,https://youtube.com/watch?v=8SbUC-UaAxE
6,Eminem - Without Me (Official Music Video),YVkUvmDQ3HY,2114701152,774908,https://youtube.com/watch?v=YVkUvmDQ3HY
7,Nirvana - Smells Like Teen Spirit (Official Music Video),hTWKbfoikeg,1948393182,392764,https://youtube.com/watch?v=hTWKbfoikeg
8,In The End [Official HD Music Video] - Linkin Park,eVTXPUF4Oz4,1945950345,1050020,https://youtube.com/watch?v=eVTXPUF4Oz4
9,Lady Gaga - Bad Romance (Official Music Video),qrO4YZeyl0I,1900003495,421340,https://youtube.com/watch?v=qrO4YZeyl0I
10,Queen – Bohemian Rhapsody (Official Video Remastered),fJ9rUzIMcZQ,1883751791,428250,https://youtube.com/watch?v=fJ9rUzIMcZQ
11,Michael Jackson - Billie Jean (Official Video),Zi_XLOBDo_Y,1782801524,1184969,https://youtube.com/watch?v=Zi_XLOBDo_Y
12,Guns N' Roses - Sweet Child O' Mine (Official Music Video),1w7OgIMMRc4,1732831657,301921,https://youtube.com/watch?v=1w7OgIMMRc4
13,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,8WYHDfJDPDc,1680498024,451552,https://youtube.com/watch?v=8WYHDfJDPDc
14,Taylor Swift - You Belong With Me,VuNIsY6JdUw,1660947910,226188,https://youtube.com/watch?v=VuNIsY6JdUw
15,Beyoncé - Halo,bnVUHWCynig,1642559295,805534,https://youtube.com/watch?v=bnVUHWCynig
16,The Cranberries - Zombie (Official Music Video),6Ejga4kJUts,1641468207,506021,https://youtube.com/watch?v=6Ejga4kJUts
17,Rick Astley - Never Gonna Give You Up (Official Music Video),dQw4w9WgXcQ,1620055216,363846,https://youtube.com/watch?v=dQw4w9WgXcQ
18,Backstreet Boys - I Want It That Way (Official HD Video),4fndeDfaWCg,1536075107,539387,https://youtube.com/watch?v=4fndeDfaWCg
19,Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,DUT5rEU6pqM,1533400340,525988,https://youtube.com/watch?v=DUT5rEU6pqM
20,Cyndi Lauper - Girls Just Want To Have Fun (Official Video),PIb6AZdTr-A,1499837730,569748,https://youtube.com/watch?v=PIb6AZdTr-A
