rank,title,videoId,views,dailyViews,url
1,Don Omar - Danza Kuduro ft. Lucenzo,7zp1TbLFPp8,1572629821,354301,https://youtube.com/watch?v=7zp1TbLFPp8
2,Adele - Set Fire To The Rain (Live at The Royal Albert Hall),Ri7-vnrJD3k,858330808,160125,https://youtube.com/watch?v=Ri7-vnrJD3k
3,Gloria Trevi - No Querías Lastimarme,G3diF-5DlAc,689696275,133523,https://youtube.com/watch?v=G3diF-5DlAc
4,"Where You Are (From ""Moana""/Sing-Along)",RTWhvp_OD6s,549989656,419918,https://youtube.com/watch?v=RTWhvp_OD6s
5,Banda El Recodo De Cruz Lizárraga - Vas A Llorar Por Mí,qXa8LjXNshs,400607792,50676,https://youtube.com/watch?v=qXa8LjXNshs
6,Calibre 50 - Contigo,oeeNs3KInbc,363490843,45357,https://youtube.com/watch?v=oeeNs3KInbc
7,Gerardo Ortiz - Dámaso (Official Video),E0CcSVHQSDU,339414577,15696,https://youtube.com/watch?v=E0CcSVHQSDU
8,La Adictiva - Te Dirán (Video Oficial),HKhgsXqm8VI,328512363,18329,https://youtube.com/watch?v=HKhgsXqm8VI
9,Franco de Vita - Tú De Que Vas (Video Oficial),6hRlvcy3V9k,322525544,147544,https://youtube.com/watch?v=6hRlvcy3V9k
10,Natalie Imbruglia - Torn (Official Video),VV1XWJN3nJo,322280628,112638,https://youtube.com/watch?v=VV1XWJN3nJo
11,Franco de Vita - Si la Ves (Official Video),p30wrDgT-kc,267372345,82658,https://youtube.com/watch?v=p30wrDgT-kc
12,Banda El Recodo De Cruz Lizárraga - Consecuencia De Mis Actos,5r9XrWN2bPA,225335087,42942,https://youtube.com/watch?v=5r9XrWN2bPA
13,"Pitbull - Bon, Bon (Official Video)",9O72RLP5fF4,221240203,2720,https://youtube.com/watch?v=9O72RLP5fF4
14,La Adictiva - El Viejón (Video Oficial),pDt0eRAD4ts,214455708,26542,https://youtube.com/watch?v=pDt0eRAD4ts
15,Becky G - Can't Stop Dancin',7NwzxGntDgs,213095947,1725,https://youtube.com/watch?v=7NwzxGntDgs
16,Gerardo Ortiz - Quién Se Anima (Official Video),D5ov9eaz16k,199874701,12094,https://youtube.com/watch?v=D5ov9eaz16k
17,"Felipe Peláez, Manuel Julián - Tan Natural",c2jgy0QrnqQ,196700809,76978,https://youtube.com/watch?v=c2jgy0QrnqQ
18,"Dan Osorio - Brillo (De ""Moana: un mar de aventuras""/Con letra)",beiUZSieBt0,171588552,140008,https://youtube.com/watch?v=beiUZSieBt0
19,Gerardo Ortiz - Eres una Niña (Official Video),MUNIhUBeuDE,170570145,20088,https://youtube.com/watch?v=MUNIhUBeuDE
20,Gerardo Ortiz - Amor Confuso (Official Video),6sD793cet9A,165503890,21794,https://youtube.com/watch?v=6sD793cet9A
21,Danna Paola - No Es Cierto ft. Noel Schajris,Q-N-nKbGfrA,155438636,6220,https://youtube.com/watch?v=Q-N-nKbGfrA
22,"Dil Ka Kya Karein Saaheb | दिल का क्या करें साहेब | Jeet | Tabu, Sunny Deol | Kavita Krishnamurthy",VkSHmK9YELw,152785218,4710,https://youtube.com/watch?v=VkSHmK9YELw
23,Zoé - Arrullo De Estrellas,a3eG2evI9aU,152172961,14138,https://youtube.com/watch?v=a3eG2evI9aU
24,Empire Of The Sun - We Are The People (Official Music Video),hN5X4kGhAtU,147974577,39950,https://youtube.com/watch?v=hN5X4kGhAtU
25,Beyoncé - I Was Here (United Nations World Humanitarian Day Performance Video),i41qWJ6QjPI,144353796,17895,https://youtube.com/watch?v=i41qWJ6QjPI
26,Gerardo Ortiz - Mañana Voy A Conquistarla (Official Video),B_etSGv8yyg,137762617,30290,https://youtube.com/watch?v=B_etSGv8yyg
27,"SWAG SE SOLO Song: Salman Khan | Remo D'souza | Sachet Tandon, Tanishk Bagchi Vayu | Bhushan Kumar",SN958msmXeI,131008169,1025,https://youtube.com/watch?v=SN958msmXeI
28,Gerardo Ortiz - Mujer de Piedra (Official Video),xM1ScFYLj4M,123056087,5544,https://youtube.com/watch?v=xM1ScFYLj4M
