rank,title,videoId,views,dailyViews,url
1,Bống Bống Bang Bang - Bé Bào Ngư,GhZML0HSli8,616533006,124126,https://youtube.com/watch?v=GhZML0HSli8
2,365DABAND - BỐNG BỐNG BANG BANG | OFFICIAL MV (TẤM CÁM: CHUYỆN CHƯA KỂ OST),BwN3NiZt-PU,610664019,59562,https://youtube.com/watch?v=BwN3NiZt-PU
3,Thương Lắm Thầy Cô Ơi! - Bé Phan Hiếu Kiên,pLHSPrJUx4s,517805989,66713,https://youtube.com/watch?v=pLHSPrJUx4s
4,SÓNG GIÓ | ICM x JACK | OFFICIAL MUSIC VIDEO,j8U06veqxdU,447619501,56154,https://youtube.com/watch?v=j8U06veqxdU
5,Xúc Xắc Xúc Xẻ - Bé Bảo An ft Phi Long _ Official Mv,LjuNB23gTiU,432369165,5372,https://youtube.com/watch?v=LjuNB23gTiU
6,BẠC PHẬN | ICM x JACK | OFFICIAL MV,WX7dUj14Z00,416805091,54353,https://youtube.com/watch?v=WX7dUj14Z00
7,NƠI NÀY CÓ ANH | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP,FN7ALfpGxiI,386789999,109743,https://youtube.com/watch?v=FN7ALfpGxiI
8,Xúc Xắc Xúc Xẻ - Bé Bảo An ft Phi Long,Fd7lYEtevxQ,371688528,148373,https://youtube.com/watch?v=Fd7lYEtevxQ
9,EM GÌ ƠI | ICM x JACK | OFFICIAL MUSIC VIDEO,cBClD7jylos,369117869,26311,https://youtube.com/watch?v=cBClD7jylos
10,Đại Ca Lớp 12A ( Túy Âm + Save Me Parody ) - LEG,WuUkaJ6hyc4,334875727,34517,https://youtube.com/watch?v=WuUkaJ6hyc4
11,JACK - HỒNG NHAN [OFFICIAL MV] | G5R,8x2NjwwHUbQ,294435300,21444,https://youtube.com/watch?v=8x2NjwwHUbQ
12,SƠN TÙNG M-TP | HÃY TRAO CHO ANH ft. Snoop Dogg | Official MV,knW7-x7Y7RE,292567443,21863,https://youtube.com/watch?v=knW7-x7Y7RE
13,LẠC TRÔI | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP,Llw9Q6akRo4,275322691,21349,https://youtube.com/watch?v=Llw9Q6akRo4
14,THẰNG ĐIÊN | JUSTATEE x PHƯƠNG LY | OFFICIAL MV,HXkh7EOqcQ4,272350017,64920,https://youtube.com/watch?v=HXkh7EOqcQ4
15,PHÍA SAU MỘT CÔ GÁI - Soobin Hoàng Sơn ( OFFICIAL Lyric Video ),j__Q13iAxNk,257057595,9981,https://youtube.com/watch?v=j__Q13iAxNk
16,BÍCH PHƯƠNG x MIRINDA - Chuyện Cũ Bỏ Qua (Official M/V),kDmOOj5Y0DI,247884813,233344,https://youtube.com/watch?v=kDmOOj5Y0DI
17,MÌNH CƯỚI NHAU ĐI - Pjnboys x Huỳnh James (Official MV),BBRCKcGPmhI,242908472,11707,https://youtube.com/watch?v=BBRCKcGPmhI
18,Ngắm Hoa Lệ Rơi - Châu Khải Phong | Official Lyric Video,SItFPrgEITM,239139045,22933,https://youtube.com/watch?v=SItFPrgEITM
19,Người Lạ Ơi ! Official MV | Châu Đăng Khoa x Karik x Orange,g20t_K9dlhU,231737011,14701,https://youtube.com/watch?v=g20t_K9dlhU
